"Per 15 November woon ik weer samen met mijn partner Zij is onlangs door jullie afgemeld omdat ze tijdelijk naar NL is verhuisd Maar gaat weer bij mij wonen in het buitenland Moet ik alle documenten dan weer opsturen of hebben jullie deze nog in beheer","aanmelden-overig"
"Wanneer kan mijn nieuwe partner aanspraak maken op mijn pensioen na mijn overlijden Moeten wij een contract hebben afgesloten of is het samenwonen ingeschreven zijn op hetzelfde adres voldoende","pensioen-nabestaanden"
"ik moet een samenlevingsovereenkomst mailen maar dit lukt niet","partner-aanmelden"
"Ik ben gepensioneerd in juli 2018 en wil weten welkegevolgen het voor min pensioen heeft als ik mijn partnernabestaandenpensioen wil geven","pensioen-nabestaanden"
"bye now","cs-goodbye"
"cya","cs-goodbye"
"farewell","cs-goodbye"
"goodbye","cs-goodbye"
"good bye","cs-goodbye"
"good day","cs-goodbye"
"good night","cs-goodbye"
"gotta go","cs-goodbye"
"gotta run","cs-goodbye"
"got to go","cs-goodbye"
